ನಾಲಗ್ ವರ್ಷಾದ ಮೇಲೆ ರೋಣಾ ಗೋವರ್ಮೆಂಟಿಗೆ ನಿವು ಸಾಲಾ ಕೊಡವ ರೇತಿ ಬಳದಿರತಿರಾ ನಿಮಗು ಸಬ್ಸಿಡಿ ಬರೆ ಕೊಡವೇಕ ಗೋವರ್ಮೆಂಟಿಗೆ. ಕವರ್ಷ್ಟೂರಿಗಿ ಸ್ವಾಗತಾ ನಾನು ವಿಜೆಲಕ್ಷಮಿಶಿ ಬರೋರು ಕಾಡುಗಳ್ಳ ವಿರಪ್ಪನ್ ಸತ್ತಾಗ ನಾವೆಲ್ಲಾ ನಿತ್ತಿಸರು ಬಿಟ್ವಿ ನಾಡಿನ ಗಂದದ ಗಿಡಗಳೆಲ್ಲಾ ಉಳುದುವಿ ನಾವು ನೆಮ್ಮದಿಯಂದ ಇದ್ದುವಿ ಆದರೆ ನಾಮ್ಮ ನೆಮ್ಮದಿಯನ್ನ ಕೆಳಿಸ ನಮ್ಮಲ್ಲಿ ಒಂದು ವಿಚಿತ್ರವಾದ ಮನವಿ ಮಾಡ್ಕೊಂಡುರು. ಅದೇನಂದ್ರೆ ಬೆಂಗಳೂರು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆ ಆವರಣದಲ್ಲಿ ಕೋಟಿ ರುಪಾಯ್ ಶ್ರಿಗಂಧ ಲೂಟಿಯಾಗ್ತಿದೆ ನಮ್ಮ ಗ್ರಹಿಲಾಗಿಯ ಕಣ್ತಿರಿಸಿ ಅನ್ತ ಬೇಡಿಕೊಂಡುರು ಅವರ ಮನವಿಗೆ ಸ್ಪಂದಿಸಿದ ಕವರ್ ಸ್ಟೋರಿ ತಂಡ ಜಾನದೇಗುಳ ಜಾನಭಾರತಿ ಅತ್ತ ಪ್ರಯಾನ ಬಿಳಸಿಯೆ ಬಿಟಿತು ಮುಂಜಾವಿನ ಚುಮುಚ್ಚುಮು ಚಲಿಗೆ ವಿಸಿರಕ್ತದ ಪರಿಸರ ಪ್ರೇಮಿಗಳು ನಮ್ಮನ್ನ ಸ್ವಾಗತಿಸಿದ್ರು. ಪಹಳ ಉತ್ಸಾಧಿಂದ ಇದ್ದ ಅವರು ನಮ್ಮನು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆಯದ ಕೆಂಪಸ್ ಸುತ್ತಾಡಿಸಿದ್ರು ಇಲ್ಲಿನ ಕಾಡು ಯಾವರಿತಿ ಕಸದ ತೊಟ್ಟಿಯಾಗ್ತಿದೆ ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕಿನಿ ಶೇಧಿಸಲಾಗಿದ್ರು ಮೈವಾಗಿದೆ. ಕಟ್ಟಡಗಳ ತ್ಯಾಜ್ಯವನ್ನ ಇಲ್ಲಿ ನಿರಾಸೆ ನಾನ ಬಹಾರತ್ಯಾ ಗಂಧದ ಗುಡಿಯಲ್ಲಗೆ

ಕಾನುನನ್ನಾ ಯಾರೋ ಇಂಡಸ್ಟಿರ್ ಬಳಿಕೊಡ ಮಾಡಿದಾಗ ರುಪಾ ಅವರಿ ಕೊಡತಿವಿ ತಾವಕೊಡ ಆಸಕ್ತಿದಿದರು ಪ್ರಶ್ಣಿಕೆಲುವಾದು ಎಕ್ಕದ ಎರ್ಡತಾಸ್ ಟಾಯಂಗೆ ಕೊಡಿದಿದಾವು ಸುಮ್ಮಿಯ ನಿವೇಲ್ಲೋ ಗದ್ದಲ್ದಾಗುಕ್ತಿವಿಂದಿವು ಕೈಕುಳಿಕ್ಕಿ ಪೂಟತಕ್ಷನರ್ ಸುಮ್ಮಿಯಿಲ್ಲಿಕೆ ಮಿಸ್ತರುವಿಸ್ತಿದಿದಿಗೆ ಕೊಡಿದಿದಿದಿದಿದ ನುಧವು ಒಂದುಕೊರುಂಗೆ ನಿರ್ದಿದ್ದಿ ಮುಷ್ಕಲಿ ತೊಂದ್ರೆ ಆಗಳಿಕ್ಕಿಲ್ಲನ್ನು ಪ್ರಾಬಾಬ್ ಇರುಂಗಿಲ್ಲಾ ಒಗಿತ್ತ ಒಗ್ತಾಯಿದೆ ಅಲ್ಲಡಿ ಚೇನಿದೆ ಬೇಡಗೆತ್ತಿ ಮಾಡಿಕೊಡನು ಇಂತವನ್ನು ನೆಕ್ಸ್ಟ ಸಲ್ದು ಮಾಡಿಸ್ತಿರ ಮೊಝಿಯು Sun Jennifer ಕೊಹಗಿದ ಗಂದಾಡೆಕೆ ಬೇವರು ಩ಯದ Christmas Council specialist rabbit ಕೇಳದಾಗ ಎಂದಿಸ್ತು ವೇರೆ ಆರುವು ಪ್ರಶ್ನಿಕ್ಕಿಯಾದಿ ಬುಟ್ಟರ ಗಳ್ದದ್ಗಿರದ್ದು ಬೇಟ್ಟೆಲ್ಲಿರು ಜಾತಿದೆತ್ರು ಇತ್ರು ತಿನಸ್ಪುರ ಕಾಡಿಪೋಲಿಯ ಇಲ್ಲದಿದಾವೆ ಬಳ್ಳಿಯನ್ನು ಕಿರದು ಮಾಗಿದಿದು ಬಳ್ಳಿಯಲ್ಲಾ ಮಾಡಿಬುಡಿರೆ ಅತಾನ್ ಬಾಪ್ಪಯನಾಂದರೆ ಒಜ್ಯಾಗ ಅಕ್ಕತ್ತೆವೆನು ಅತಾವು ಸೂರೆಲಿಕ್ಕಿರಣಗಳು ತಂದ್ರಾಯಕ್ಕತ್ತೆವೆನು ಬಳ್ಳಿನ್ನು ತಗ್ದಿಪುಡ್ರೆಯಿಂತಾ, ಎನಾಗತ್ತನ್ನುಂ ಪ್ರಕ್ರುತ್ಯುವಲಗ ಇಡಿತ್ತತ್ತತ್ತೆವು, ಆಟಾ, ಪಾತ್ರಗಳಗು ಅರ್ತಿಕವಾದ ಪಾಟ್ ಸಿಕೆರನ್ನ ಆವಹಾಗ ಅಮ್ಮರುತ್ತ ಪಡಿದುವಾಗಾ ಅಗ್ಕಿ ಪಾಕ್ಷಿಗೆ ಎಸುರುಮ್ಮೆದ್ದುಂಗೆ ಬಳ್ಳಿಕೊಡನು ದ್ರಾಕ್ಷಿ ಕೊಂಚಲ್ ಬಟ್ಟಾಂಗು ಬಿಟ್ರತ್ತಾಕೆವು ಗ್ರೇವ್ಸು ಪಂಚಿತ್ತಿದ

ಸುನೆ ಸಮ್ಮರ್ಣಯಗೆ ಬುಕ್ಸು ಇಟಕಾಂದು ಕೊಂತಿಕಾಂಬಡುವಗು ಬುಗುದ ಮುಗೆತ್ತನು ಪ್ರಪಂಚಿದ್ದಿ ಆದುರೆಂಗಳ ಕಲರೋ ನೋಡಿಸ್ತು. ಮುಗಿಬಿಳೋದಕ್ಕೆ ಬೇನ್ನತ್ತಿದ ಬಿಳುವೇಕಾ ಚಾಂಸ್ ಅದುಯಾವಗಿತ್ತೋ ನೋಡೆಬಿಡೋನ ಬೆನ್ಹತ್ತಿದಿದಿ ಅಗಾದರೆ ನಾಯಿತು ಅನ್ನೋದನ್ನ ನಮ್ಮನ ಅದ್ಯಾವಗ ಇಪರಿಕಾಡವಕೆ ಶುರುವಾದರೋ ಅದೇನಾಗುತ್ತೋ ಯೂಟರ್ನು ಸಾಹಸವೇ ಆಫಿಸ್ಕಡೆ ಇಸ್ತುಐಡಿಯನುತ್ತಕೆ ಮಾಸುಂತಕೆ ಸಿರೆತಿ ಇಸ್ಟುಐನೆ 22zen ಆದಿ ತಕೆರುವ ಡೇನಿನ ಚೊಡಿಂದೆ ಸಂವುದ್ದಿ ಹಲ್ಳಿಯ ಗೇಟ್ಟಿಗೆ ಗಾಡಿ ಸೈಡಿಗೆ ಹಾಕ್ಕಿದುವೇ ಬಾಯ್ಕ್ ಟೇಮ್ಗೆ ಅಲ್ಲಿಗ ಮನ್ನ ಪೋಲಿಸರು ದೈಯಮಾಡಿ ಕತೆನುವೇ ಗಾಡಿಗಾನ ಲಾಗಿಕೆ ಹಲುವಾಗಿದೆ ಅಕ್ಷಿಟಿ ಬದಿದುವೇ ಮರುಂದಾಂಗ ಅಭ್ಜಾರ್ಮರ್ಮಸ್ಟಿಂದು ಪೋಲಿಸವನ್ನೆ ಕಲ್ಟಾಂಗು ವಳಿಸಿಯಾನು ಪಾಲಿಸಿಯಾನು ಮರುಂದಾಂಗು ರಾಜಕಾಣಿಗಳೆ ನೇರಹೊಣೆ ಕರ್ನಾಟಗದಲ್ಲಿ ಇಂತದುಂದು ಹಳ್ಳಿಯಲ್ಲಿ ಇಸ್ಟಲ್ಲ ಅವ್ಯವ್ವಹಾರಗಳು ಅಕ್ರಮಗಳು ನಡಿಯುತ್ತಿದ್ರೋ ಸೂಮನಿತ್ತಾರೆ ಇಹಳ್ಳಿಗೆ ಹೋಗೋಕೆ ಹೇದರ್ತಾರೆ ಅದಕ್ಕಿಂತ ಅಮ್ಮಾನ ಮತ್ತುಂದಿಲ್ಲಾ ಹೇಡಿತನಕ್ಕೆ ಸಾಕ್ಷಿನ ಅಥ್ವಾ ಗೊತ್ತಿದ್ದು ಹಾಕ್ಯಿದ್ದಾರೆ ಯೋಚಿನೆ ಇಲ್ಲಿರೋ ಒಟಿಗಳಿಗಳಿ ರಾಜಕಾಣಿಗಳು ನಿಶತನದ ಕೆಲಸಕ್ಕೆ ಮುಂದಾಗಿತಾರೆ ಅರೆಷ್ಟ್ ಮಾಡೋಕ್ಕೆ ಹೋದರೆ ಅನ್ನುದು ಬಿಟ್ಪಿಡಿ ವೋಟ್ ಬೆಂಗ್ ಗಾಗಿ ಹಿನ

ಕೆಲ್ಸಾ ಇತ್ರೆ ಮಿನಿ ಪಾಕಿಸ್ತಾನ್ಗಳು ವಿಭಜನಿ ಆಗ್ಬೇಕು ಕೂಗು ಕೇಳಿಬಂದು ಆಸ್ಟ್ಚರಿಯವಿಲ್ ನಾರಾ ರೋಟ್ರಕ ಹಾಜರಾಗ್ತಿವಿ ನೇರಾ ದಿಟ್ಟ ನಿರಂತರ ಸುವರಣಾ ನಿಯೋಸ್ ಅನಿಸುಕೆ ಅವಿಪ್ರಾಯಗಳನ ಬರುದು ತಿಲಿಸವೇಕಾದ ವಿಲಾಸಾ ಕಾವರ್ ವಿಭಾಗ ತಡಿಸಿಕ್ಸ್ ಕುಯಸನ್ ಶಿವಾನಂದ ಸರ್ಕಲ್ ಬೆಂಗಳು ಆತಾ ಗ್ರುಷಿಯಲ್ಲೇ ಕಟ್ಟಿಕೊಂಡ ಅನ್ನದ ಸಕ್ಸಸ್ಕಂಡಿದ್ದ ಎಲ್ಲರಿಗು ಮಾದರಿಯಾಗಿದಾನೆ. ರಾಜ್ಯದಲ್ಲಿ ಅಲ್ಲದೇ ವಿದೇಶದಲ್ಲು ಫುಲ್ ಫೇಮಸ್ ಆಗಿದಾನೆ. ಯಾರಾತಾ ಇಸ್ಟೋರಿ ಹೊಷ್ಚಗಳಹಿಂದೆ ವಿಶುಕುಮರ್ ಎಮ್ಬ ಪರಿಚೇರಲಿಲ್ಲಾ. ಟಿವಿನೈನ್ ಬಳಿದಿರು ಇಸ್ತ್ರುತ ವರದಿ ಪ್ರಸಾ ಕ್ರಿಷಿಯಬಗ್ಗೆ ಗಂದದಗುಡಿಯನ್ನ ಕರಿಕ್ರಮನ್ನೋಡಿ ರಾಜ್ಯಾದ್ಯಂತು ಜನಗಳು ಕುರಿತ್ತು ಮಾಯತಿತ್ತಗಂಡುಗಿ ಶಿಗ ಮಾಯತಿತ್ತಗಂಡದದುಗಿ ಬಳಿನಿದಿದು ಕುಡಾಗಿ ಕರಿಸ್ಕಂಡು ಮಾಯತಿಪಡಿದಾರೆ ಇಸ್ಟಲಿರು ಸಂತುಷಿವಿಕ್ತಪಡಿತ್ತಿದಾರೆ ಅರ್ಗಾಗೆ ತರಿಕ್ಕಿ ರಕ್ಷೇತದ ದನತಿಕೆ ಕುಷಿತರ್ತಕ್ಕಂತ ಅಗು ಚಿಪಂಗಳು ಜಿಲ್ಲಗೆ ರಾಜ್ಯಕ್ಕೆ ವಿಲ್ಲೆ ಮಾದರಿಯಾಂತು ತರತಕ್ಕಂತ ರೈತನಾಗಿ ವಿಶುಕುಮರ್ವರು ಇದಾರೆ ರೀತಿಯಾಗಿ ಬೆಳವಣಿಗೆ ಕರಸ್ಪಕು ವಿಶುಕುಮರ್ವನ್ನ ರೈತರನ್ನು ಎತ್ತಿ ಜನ ಇವರನ್ನು ನೋಡಬಟ್ಟು ಮಾರಗದರ್ಷ ಇಲ್ಲರ ಆಶೆಯಾ. ಮಾನಾ ಬದ್ದಿನೆ ಬದ್ದಿನಾ ತಿಳಕಂಡರದಲ್ಲಾಬ್ಬು ಪೋದಿ

ತಿಳಕೊಂಡರದಲ್ಲದ ವಿಷಿಯಾ ತಿಳಕಂಡರದಲ್ಲಿಲ್ಲಾಬ್ಬು ಸತ್ತವುಗುತ್ತಾರಾದು ನಿಮೆಡಿ ತಿಳಕಂಡರದಲ್ಲಲ್ಲಿಲ್ಲಾಬು ಹಾಸುಗುತ್ತಿದ್ದಿವುತ್ತವುರುದಾಗಿಯುವು ಆಸ್ಟಾಕ್ ಚೇಸದ ಅವರಾಯೆ ಭಿದುವ ಸಾತ್ತಾಗುಂದದು ಇಕದನ್ನ ಮಾಕವಾರಾಗಾಗಿತು ಸಪ್ಪೋಡ್ಸುವುದು. ಇನಿ ಪ್ರೂಟ್ರೀಸ್, ಎಾಕಿ ಲೋಕಲ್ಲಾಲ್ ಬೆಲ್ದು ಮಾಕವಾಗಿದು, ನಿತಿವುತು ಸರ್ತಲ್ಬ ಕಾಳಿಯವಿದ್ದು. ಕಾಲಿಯಾಗತ್ತೆ ಇಂದಿಸ್ಟೋಷಕ್ಕೆ ಅಸ್ಟ್ರುಲಾಗಿದಿನ್ನಾನ ಎಸ್ಟಾಕ್ಟರುವಿಸ್ತಾಕ್ಕುವುದ್ದಾ ಇಂದಿಸ್ಟಾಕ್ಕುವುದ್ದಾ ಆದವಿ ಹಿವಾಯಿಹಮನ್ನ ಮಹಿವರ್ freezer oriented ಅದಹ ಆದಹ ನಿಂದಾ Numbers ನಿಂದರಿಭರ ಪ್ರಳಿವರುವ ಹಲಿಯಾಗುನ ನಿಂದರ ಮರಾ? ಅಧಿ हಗ? ದಿಸರ ದದದರಾ'll ರೈತಿರು ವತ್ತನೆ ಇಸ್ತೋಟ್ಟೋಡ್ಡು ಎತ್ರುವಾದ್ದು ಸಿಗಳಾಗಾರಾ ಸಂಗಾನ್ನಾ ಮಾಡ್ಕೊಂಡು ಲಾಸ್ಟ್ ನಾವಂಗರಲ್ಲನು ಮಿನಿಸ್ಟಿಷ ಮಾಡ್ಕು ಮಿನಿಸ್ಟಿಷ. ಪಾಮುಕ್ ಹಾಕ್ಯದರೆ, ಯಾವರೀತಿಯದನ್ನು ಪ್ರತಿವಂದನ್ ಹಾಕ್ಯದರೆ ಯಾವರೀತಿಯದಿದರೆ, ಅಧುಂದನ್ನು ಸಲಾಗಿದರೆ ನಿರ್ಗೆಂತ್ತ ಕ್ರುಷಿವಂಡಾನ್ನ ಮಾಡ್ಕೊಂಡಿದರೆ, ಕಂಡಿತ್ತುವಾಗಿದೆ ಹೇಲ್ಪಾಗಿತ್ತೆ. ನೋಡ್ಪೋದು ಗಿಡಗಳಿದೆ ಮುದ್ದಾಗಿದೆ ಅನ್ನಿ ಗಮಾ ನೆಂಪಾಗೋಗತೆ ಹೇಳ್ಬೇಕು ಬದ್ಕೊದು ಕಾಗುದು ನಿವುದು ನಿವಿನದ್ರು ಹಾಕ್ತಿರು ಉಳಿವದಿಲ್ಲಾ ಸಪೋಟಿವ ಕೊಡ್ಳೆಬೇಕು ಬೇಲಿಯತ್ತೆ ಅದಿನ್ನಾಯಿದು ವರಾಯ್ಟಿಯಾಗ್ ಗಂದಗಳಿದೆ ಆಸ್ಟ್ರೆಲಿಯನ್ ಇನಿದೆ ಬಲದುರು ಪ್ರಮೋಟ್ ಮಾಟ್ವೇಕು ಪ್ರಿವಿಟ್ಟಾಗು ನಾವರೆ ಬೆ. ಚಂದನಾ?

ರಕ್\' ಸ್ಮಗ್ಳಿಂಗಿದಿದ್ದಿದಿಲ್ಲಾ ಅಭವರ ದೆದೆ ಅಧೆ ಮರಾಯಿದಲ್ಲಿದಿದಿದಿಲ್ಲಿದಿದಿದಿದಿದಿ concept blood moon, moon Sri Ghanda, town Noor thinking knew beginning China Mangal, Japan, Nepal, Burma, Myanmar, countries awareness Here seems, celebs strength, speak impact health demands appreciate God laisserting kept see... remember bomb temple, visible, miracles <|ja|> vimosелisäly cig instructAAAAAAAÄÄ !"иров b sanctions dude scene Occupational Humans' workers crowns disaster abin hair 비 spent ಬಳ್ತಸ್ಟು ಒಗುದು ನಾಲ್ಕೊರೆ ವರ್ಷದ್ದಲ್ಲ ಅದುಕಗೆ ರೆಡ್ಡುದು ವನಗಿದ್ದಲ್ಲ ಬಳ್ಬದು ಕಂಪ್ಪಲಿಟು ಕಾನಸ್ತಾಯಿದೆ ಲಾಗಾಗಿ ರತ್ತ ನಿತ್ತಗೊಬಂದರಿ ಮಿಂಟಿನಿಸಿಲ್ಲ ಹೇಗಿ ಹೇಡಿದೆ ನಿತ್ ಬಿಳವಣಿಗೆ ನಮ್ಮಗಿದೆ ಚಂದರೆ ಗೊಳಿಸಿಲ್ಲ ನನಿ ಗೊತ್ತಿದು ಮಟ್ಟಿಗೆ ಸರಿಗಂದಾನು ಮಾರ್ಕಟ್ಟ ಗಿಡನನ್ನು ನಿಟ್ತಿವಿಲ್ಲ ವೇವಸ್ತೆಪಗೆ ಮಾತರ್ವೇಕೊಂದೆ ಅಡಿಯಿಂದ ಅಡಿಗೆ ಅಂತ್ರ ಇರ್ದೆಕೊ ಸೇಮ್ಮ ಪಂಗಳಪರಾಲ ಉದ್ದುಕೊಗತ್ತೆ ನಿಕೊಲು ಸಾಂಗಳಿದಲ್ಲಾಗೆ

ಗನತ್ತುಬ ಮಾತರ್ರೆ ಶಿರಿಗಂದು ನಿಲ್ಲಾಗೆ ಆಂಟರೆ ದೋಲ್ಲೆ ಪ್ರದಿತ್ತಿಗೆ, ಮರಿಯಿಂದು ಇಲ್ಲಿಕ್ಕೆ ನಿಯಿಂದೆ. costlier okay waterКflowing more? fountains Without dripping water... source areas... kommen streams flow water? convey layers ಈವೇಲ್ಲಾ ಈಗಿಡೆ ಇದಾವ, ಬೇನಗಿಡೆ ನಿರೆ ಇಲ್ಲಾರ್ತೆ, ಬಿಡಲನಾನನ ಬೇವನಿಗಡೆ ಸರಂಡಿಗೆ ಸರಂಡಿಗಿಗಿಡೆ, ಬೇವನಿಗಿಡೆ ಸರಂಡಿಗಿಗಿಕೆ ಚಾಣ್ಣಲ್ಳೆ ಶಾಇವಿದ ಧಿಂದರೆ ಚಾನ್ನಲ್ಲಿ dieder ಪರಿಷ್ಣಮದ್ದ ವಿಡಿಯವನು ಚಿತ್ರಿಕರಣಾ ಚಾನಲ್ಲಿ ಪ್ರಸಾರಾ ಮಾಡಿತ್ತುವೇ ಮಾಡಿತ್ತುವೇ. ತಿಲ್ಲಕೊಬೋದು ತೋರಸ್ತಾದೆ ನಿರುನೆ ಮಾಡಿದಾರೆ ಅತಾಗಿ ಶೇರು ಮಡನ್ನು ಮಾಡಿದರಂತ ತೋಟಾನ ನಿರುವ್ರಕಗೆ ಮಾರ್ಚಿ, ನಿರುಶಿಯಂಮ್ಮನ, ಬবಗೆಕೆ ಗನ ಬೆತಂದರಾ ಹುಡೆ Griffin ್ರಿಬ ಪೋತಿನ, ಸಹಳಿ ಸಾಲ್ಲಾದು ಸಹಳೆśl vulnerableೆ ಕಳಿವಕೆ, ಹೋಲೆ ಕೆ, ಎನನಮ್ಮನ, ಸರಿಗಂದಕ್ಕೆ ಚೊಗಚೆನ ಕೊಟ್ಟಿದೆವೇ ಹೇಡಮಗಳು ಮಾತರ್ತಾಯಿದು ಚೊಗಚೆ ಕಣಕ್ಕು ಉಣಗಲ್ಲಾ ಇದ್ದನು ಮೆಂಟೆ ಮಾರಿಗೋಳ್ಡು ಬದನೆಕಾಯಿ ಕಾಂತಾಯರ ಸೋತಿಕಾಯಬಂತು ನುಡಿಗರೆ ಸೊತ್ತ ನಾಟಿದಾರೆ ಅಂತದ್ರೆ ಹೊಳ್ದಿದಿದಾರೆ ನಾಟಿದಿದಾರೆ ಸಲೆಯಪಡಿದಾರೆ ಬರಿಸಾನು ಅತರಂಗಿ

ನಿಂದಿದಾರೆ ಅಹಿರಕೊಳಾಕ್ಕೆ ಬರುದಿದಿದದಿದರು ಎಂದಿದಿದಿದಿದಿದರೆ ಸಮಪೂರ್ಣ ಲಾಬನನ್ನು ಪ್ರತಿದಿದಿದಿದರೆ ಹೊಳ್ಡಲ್ಲಿ ಉಂದು ನಿಮ್ಮಾ ಪಾರ್ರಿಗೊಳಳಿಲ್ಲಿ ಇರುವಾಗೋಲ್ ರಾಗಿದುವಾಗೆ ನೇಮಿ ಟಾಂಟರಾ ಸಿವೇ ನಿಮಿಗೆ ಲೇಬರ್ಸ್ ಅವೇಲಬಲ್ಲಿದೆ ಫಂಡ್ಸಿದ್ದಿಯಾನ್ ತೋಟುದಲ್ಲಿ ಇರೆನ್ ಕರ್ಚಮಡಿದರೆ ಎಲ್ಲಾನು ಸಬ್ಸಿಡೆಗಿದೆ ಸಿಬೆಗೆ ಸಿತಾಫಲಗೆ ಎಂಬತ್ರುಪಾಯಂಗೆ ಗಂದಕ್ಕೆ 125 ರುಪಾಯಂಗೆ ಸಬ್ಸಿಡೆ ಬರ್ತಾಯದೆ ರೈತ್ರೆ ಅನಿಸಿಕೆ ಅಭಿಪ್ರಾಯನ್ನು ಹೇಳಿತ್ತಾರೆ ವಿಡೆಯಲ್ಲಿ ರುತ್ತೆ ಮಿಸ್ಸಮಾಡುವಡಿದೆ ಬಲ್ಲ ಆಯಿಕ ಬಳಿತ್ತಾರು ನಿದಲ್ಲಾ ಗೊಡೆಯಿತ್ತ ಕಪ್ಬು ನಿಳಾಗಾವಾಚ್ತೇ ಹೇಳಾ ಮೆಡಿಕೆ ಮುಹ್ಯು ಅತ್ತರಾವಿದೆ ಮಾಡ ಹೇಳತಾರೆ ವಿಡಿಯು ನೋಡ್ವೇಕಾಗತ್ತೆ ಅದನ್ನಾಂ ತಪ್ಪವಾಡದರೆ ಸಬ್ಸ್ಕ್ರಾಯಡಿ ಎಕನಾ ತೋಟಕ್ಕೆ ಬರವೇಕಂತಾ ನಡುಸ್ಕೊಡ್ತಿರ ಬಾವನೆಯಂದ ಇವ ನಮ್ಸಕರು ಪ್ರಿಂಡಿಸ್ತು ಇವಿದುವಾರಿದು ವಿಡುವಾರಿದುವೇ ಲಿಟು ಇಂಪಾಟೆಂಟಾಗತ್ತೆ ಗ್ರೋತ್ತಿಗೆ ನೋಡುವನ ಫ್ರೆಂಡು ನಿಮ್ಮಿಕೆ ತೊರಿಸ್ತಾ ಸುತ್ತಾಳಿತನಿವು ನೋಡುವರು ಬಳವೆಳ್ಳಿಯ ರಿತೆಲ್ ಬಂದಿದೆ, ಗೊಬ್ಬರಾಗಲಿ ಏಯು ಕೊಡುವಂದಲಾ, ಸುಮ್ಮನು ನೇಚರಲ್ ಇದವಲ ಎಲ್ಲನು ಒಟ್ಟಿಗೆ ಹಾಚ್ಚಿರುವಾಂತ ಗಿಡುಗುಳು ಸ್ರಿಗಗಿಗುಳುಗುಳು ಸ್ರಿಗಗಿಗುಳು ಸ್ರಿಗಗಿಗಿಗುಳು ಸ್ರಿಗಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗಿಗ. ಮಾತಾಡಲಗು ಮಾತನಕ್ಕೆಯಿದಿದ್ದೆ ಜುದೆಗೆ ವಿರಾಗಾವುದು ಆಮಾಕುದು ಮಾಟನಕ್ಕೆಯಿದೆ,

ಸುರೇಶ್ಟ್ಸರ್ಲಿದಿದ್ದೆ. ಕುಡಿದೆ ಕರ್ಣಾಟಕುದಲ್ಲಿ ಮಾತಾಗಿದೆ ಹೆಂಡು ಮಾಕ್ಕಲ ಸಮ್ಮಸ್ಸೆಯನ ಪಾಂದರೆ ಮಾಡ್ವೇಕೊ ಇನ್ನೆನವ ಮುಗಿಯೋದೆ ಲಾವೆಗೆ ಕುರ್ಷಿಯಿಕೆ ಕುರ್ಷಿಯಲ್ಲಿ ಇಸ್ಟುತೋಟ ಸಾಧ್ನೆ ಮಾಡೋಕೆ ಹೆಗ ಆಯ್ಕೊ ಬಲಿಗ್ಗೆ ಆಯ್ದಗಂಟೆಕೆ ಎದ್ದರತ್ತು ಚೆಸಮಾಡುತ್ತುನ್ನು ಹೆಗಿಂದು ಕೋಡುತುನ್ನು ಹೆಭಿರುವತ್ತುನ್ನು ಅಗ್ಷಿದಿಗಿತು ಬಾಗದಲ್ಲಿ ನಿಮುಗ್ಗೊತ್ತುಂಟು ಬೇಕೆ. ಎರ್ಡತರದು ಒರಾ ಗೊಗೊದು. ಯಾಕನ್ನನ ಬಾಳಾಸ್ಟು ನಾನ್ನ ಬಾಗಿವಾಗೆರ್ಥಿರುತ್ತೆ ನಿಮುಗ್ಗುಗೊತ್ತೆ. ರೀಕೊಸ್ಟ್ ಮಕ್ಲಿಗೆ ಮುಂಝನ. ನಾಯಿದು ರಿಂದಿ ಓದಿದ್ದು ಎಕ್ಕನ್ನುರೆ ನಮ್ಯಲ್ಲಾ ಕಿದ ಆಳದುಮರ ಗಾಂಮಾತಿಗೆ ಬದ್ನೆ ಕೈನು ಎಡಿತಿನುದರು ತಿಲ್ಕೊಂಡಿದ್ದೆ ನಾಲೆಜ್ಯಿದ್ದಿಲ್ಲಾ ಪ್ರಾರಂಬಮಾಡಿದೆ ಫಲ್ವತ್ತಾದ ಬಳ್ಡನೆ ಬೆಳಿತ್ತಿದ್ದಿಲ್ಲಾ ಪ್ರಾರಂಬಿಕಾಂತದಲ್ಲಿ ಪ್ರಾರಂಬಮಗಳನ್ನು ಫೇಸ್ ನಿದಿವಾಗಡೆಜು ಗೊಂಟನೆ ಇಂಟವೇ ಮಾಡತಿದ್ದರು ನನ್ ಮುದ್ದಲೆ ಎಳದಂಗೆ ನಿರೀಂಚ್ ಅಷ್ಟುಂದಿಲ್ಲಾ ಆಯಕ್ಕೆ ತುಮ್ಮಾ ದಾಳೆಂಬೆ ತಗದೆ ಕುಡಾಗೆ ನಾನು. ಕೊಲಿಟಿ, ಇಕ್ಸ್ಪೋಡ್ ಕೊಲಿಟಿ ಬಳಿಪಶುವಾದೆ. ಬಳಸ್ಟ ಬಳಗಾರರು ಬಳಿಪೆಕ್ಕಂದರೆ ಹೈರಾಣಾಗಿತಾರೆ. ಅವ್ಯಾದು ಅಂಗಮಾರಿ ಬಂದಮೆಲೆ ಕೊಟ್ ಮಿಕ್ಲೆ ಹಂಡಮೆಲೆ ಚುಕ್ಕೆ ಸಿಲ್ಡ ಬಂದಬಡಿತು. ಎವಾಗ್ ಬೇಳಿತಿದ್ದೆ ಕೈಯಲ್ ರೋಕ್ಕಿದ್ದಾಗಾ ಕೊಟ್ಟವರು ಬೇಡಿತಿದ್ದಿಲ್ಲ. ತಾಗಿದ್ದೆ

